"";"study";"condition_arm1";"condition_arm2";"multi_arm1";"multi_arm2";".g";".g_se";"outcome_type";"instrument";"rating";"mean_arm1";"sd_arm1";"n_arm1";"mean_arm2";"sd_arm2";"n_arm2";"mean_change_arm1";"sd_change_arm1";"n_change_arm1";"mean_change_arm2";"sd_change_arm2";"n_change_arm2";"dich_paper";"event_arm1";"event_arm2";"totaln_arm1";"totaln_arm2";"precalc_g";"precalc_g_se";"precalc_log_rr";"precalc_log_rr_se";"other_stat";"baseline_m_arm1";"baseline_sd_arm1";"baseline_n_arm1";"baseline_m_arm2";"baseline_sd_arm2";"baseline_n_arm2";"rand_arm1";"rand_arm2";"attr_arm1";"attr_arm2";"rand_ratio";"year";"time_weeks";"time";"comorbid_mental";"format";"format_details";"country";"age_group";"percent_women";"recruitment";"diagnosis";"target_group";"sg";"ac";"ba";"itt";"rob";"n_sessions_arm1";"mean_age";".log_rr";".log_rr_se";".event_arm1";".event_arm2";".totaln_arm1";".totaln_arm2";"full_ref";".id"
"118";"Choi, 2020b";"bat";"other ctr";"bat (bat (videoconf lay counselors))";"other ctr";0,647348204413087;0,151319578581657;"msd";"hdrs-24";"clinician";14,6;5,32424299926309;90;18,1;5,44127330934487;94;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23,2;5,7;90;22,9;5,7;94;99;98;15;15;1;2020;24;"post";"n";"oth";"oth (teleconf)";"us";"old";0,73;"oth";"cut";"oth";1;0;"0";1;2;5;68,7;NA;NA;NA;NA;NA;NA;"Choi NG, Marti CN, Wilson NL, et al. Effect of Telehealth Treatment by Lay Counselors vs by Clinicians on Depressive Symptoms Among Older Adults Who Are Homebound: A Randomized Clinical Trial. JAMA Netw Open. 2020;3(8):e2015648.";"Choi_2020b_msd_hdrs-24_post_24_clinician_bat_otherctr_bat(bat(videoconflaycounselors))_otherctr"
"119";"Choi, 2020b";"pst";"other ctr";"pst (pst (videoconf clin))";"other ctr";1,04606708163145;0,156015081099158;"msd";"hdrs-24";"clinician";12,4;5,41225297810829;93;18,1;5,44127330934487;94;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22,7;5,7;93;22,9;5,7;94;98;98;13;15;1;2020;24;"post";"n";"oth";"oth (teleconf)";"us";"old";0,67;"oth";"cut";"oth";1;0;"0";1;2;5;65,5;NA;NA;NA;NA;NA;NA;"Choi NG, Marti CN, Wilson NL, et al. Effect of Telehealth Treatment by Lay Counselors vs by Clinicians on Depressive Symptoms Among Older Adults Who Are Homebound: A Randomized Clinical Trial. JAMA Netw Open. 2020;3(8):e2015648.";"Choi_2020b_msd_hdrs-24_post_24_clinician_pst_otherctr_pst(pst(videoconfclin))_otherctr"
"120";"Chowdhary, 2016";"bat";"cau";NA;NA;0,450417976848539;0,275359124019307;"msd";"bdi-2";"self-report";16,5;14,4;24;22,8;13,3;31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;28;34;4;3;1;2016;0;"post";"n";"ind";"ind";"oth";"adul";0,69;"oth";"cut";"adul";1;0;"sr";1;3;7;40,57;NA;NA;NA;NA;NA;NA;"Chowdhary N, Anand A, Dimidjian S, Shinde S, Weobong B, Balaji M, et al. The Healthy Activity Program lay counsellor delivered treatment for severe depression in India: Systematic development and randomised evaluation. British Journal of Psychiatry. 2016;208(4):381-8.";"Chowdhary_2016_msd_bdi-1_post_0_self-report_bat_cau_NA_NA"
"121";"Choy, 2016";"lrt";"wl";NA;NA;0,992634897206899;0,235903211583059;"msd";"gds";"self-report";6,79;2,84;39;9,6;2,77;42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9,78;1,53;46;9,56;1,54;68;82;68;43;26;1;2016;4;"post";"n";"grp";"grp";"eas";"olderold";0,65;"oth";"cut";"old";0;0;"sr";0;1;6;78,66;NA;NA;NA;NA;NA;NA;"Choy JC, Lou VW. Effectiveness of the modified instrumental reminiscence intervention on psychological well-being among community-dwelling chinese older adults: A randomized controlled trial. American Journal of Geriatric Psychiatry. 2016;24(1):60-9.";"Choy_2016_msd_gds_post_1month_self-report_lrt_wl_NA_NA"
"122";"Cladder-Micus, 2018";"3rd";"wl";NA;NA;0,426302379932365;0,207171185046541;"msd";"ids-sr";"self-report";35,27;12,66;44;40,52;11,83;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;39,83;9,59;49;42,21;9,12;57;49;57;5;5;1;2018;8;"post";"n";"grp";"grp";"eu";"adul";0,62;"com";"chr";"adul";1;1;"sr";1;4;8;47,1;NA;NA;NA;NA;NA;NA;"Cladder-Micus, M. B., Speckens, A. E. M., Vrijsen, J. N., A.R, T. D., Becker, E. S., & Spijker, J. (2018). Mindfulness-based cognitive therapy for patients with chronic, treatment-resistant depression: A pragmatic randomized controlled trial. Depress Anxiety, 35(10), 914-924.";NA
"123";"Clark, 2008";"other psy";"wl";NA;NA;1,09392644765392;0,399918818980779;"msd";"bdi-1";"self-report";12,42;7,08;14;20,5;7,27;15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22,61;9,43;14;22;7,41;15;18;14;4;0;1;2008;0;"post";"n";"grp";"grp";"us";"adul";1;"com";"mdd";"ppd";0;0;"sr";0;1;12;30,86;NA;NA;NA;NA;NA;NA;"Clark R, Tluczek A, Brown R. A mother–infant therapy group model for postpartum depression. Infant Mental Health Journal. 2008;29(5):514-36.";"Clark_2008_msd_bdi-1_post_0_self-report_otherpsy_wl_NA_NA"
"124";"Cohen, 2010";"other psy";"wl";NA;NA;0,351923909776145;0,368929552161841;"msd";"bdi-2";"self-report";20,34;13,48;16;25,28;13,86;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31,38;9,32;18;30,16;11,13;17;18;17;2;3;1;2010;17;"post";"n";"cpl";"cpl";"us";"adul";1;"com";"mood";"oth";0;0;"sr";0;1;5;43,2;NA;NA;NA;NA;NA;NA;"Cohen S, O'Leary KD, Foran H. A randomized clinical trial of a brief, problem-focused couple therapy for depression. Behavior Therapy. 2010;41(4):433-46.";"Cohen_2010_msd_bdi-2_post_4month_self-report_otherpsy_wl_NA_NA"
"125";"Cohen, 2010";"other psy";"wl";NA;NA;0,721401597995152;0,378273453714998;"msd";"hdrs-24";"clinician";18,38;10,77;16;26,29;10,55;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26,89;6,76;18;28,53;6,93;17;18;17;2;3;1;2010;17;"post";"n";"cpl";"cpl";"us";"adul";1;"com";"mood";"oth";0;0;"1";0;1;5;43,2;NA;NA;NA;NA;NA;NA;"Cohen S, O'Leary KD, Foran H. A randomized clinical trial of a brief, problem-focused couple therapy for depression. Behavior Therapy. 2010;41(4):433-46.";"Cohen_2010_msd_hdrs_post_4month_clinician_otherpsy_wl_NA_NA"
"126";"Cooper, 2003";"sup";"cau";"sup (nondirective counselling)";"cau";0,259083437985917;0,204029753322616;"msd";"epds";"self-report";9,9;5,9;47;11,3;4,8;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48;NA;NA;52;48;52;7;4;1;2003;20;"post";"n";"ind";"ind";"uk";"adul";1;"oth";"mdd";"ppd";1;1;"sr";1;4;10;27,69;NA;NA;NA;NA;NA;NA;"Cooper PJ, Murray L, Wilson A, Romaniuk H. Controlled trial of the short- and long-term effect of psychological treatment of post-partum depression. I. Impact on maternal mood. The British Journal of Psychiatry. 2003;182(5):412-9.";"Cooper_2003_msd_epds_post_9&18month_self-report_sup_cau_sup(nondirectivecounselling)_cau"
"127";"Cooper, 2003";"cbt";"cau";"cbt (cbt)";"cau";0,433844011142062;0,211777655025783;"msd";"epds";"self-report";9,2;4,8;42;11,3;4,8;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;43;NA;NA;52;43;52;2;4;1;2003;20;"post";"n";"ind";"ind";"uk";"adul";1;"oth";"mdd";"ppd";1;1;"sr";1;4;10;27,69;NA;NA;NA;NA;NA;NA;"Cooper PJ, Murray L, Wilson A, Romaniuk H. Controlled trial of the short- and long-term effect of psychological treatment of post-partum depression. I. Impact on maternal mood. The British Journal of Psychiatry. 2003;182(5):412-9.";"Cooper_2003_msd_epds_post_9&18month_self-report_cbt_cau_cbt(cbt)_cau"
"128";"Cooper, 2003";"dyn";"cau";"dyn (psychodynamic psychotherapy)";"cau";0,525975429475407;0,209050502089607;"msd";"epds";"self-report";8,9;4,2;45;11,3;4,8;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;NA;NA;52;50;52;10;4;1;2003;20;"post";"n";"ind";"ind";"uk";"adul";1;"oth";"mdd";"ppd";1;1;"sr";1;4;10;27,69;NA;NA;NA;NA;NA;NA;"Cooper PJ, Murray L, Wilson A, Romaniuk H. Controlled trial of the short- and long-term effect of psychological treatment of post-partum depression. I. Impact on maternal mood. The British Journal of Psychiatry. 2003;182(5):412-9.";"Cooper_2003_msd_epds_post_9&18month_self-report_dyn_cau_dyn(psychodynamicpsychotherapy)_cau"
"129";"Cramer, 2011";"cbt";"cau";NA;NA;0,247551088677597;0,271906267994201;"msd";"phq-9";"self-report";10;6,2;48;11,5;5,4;19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,6;3,1;52;12,7;1,9;21;52;21;4;2;2;2011;13;"post";"n";"grp";"grp";"uk";"adul";1;"com";"cut";"oth";1;0;"sr";1;3;12;42,47;NA;NA;NA;NA;NA;NA;"Cramer H, Salisbury C, Conrad J, Eldred J, Araya R. Group cognitive behavioural therapy for women with depression: Pilot and feasibility study for a randomised controlled trial using mixed methods. BMC psychiatry. 2011;11:82.";"Cramer_2011_msd_phq-9_post_6&19month_self-report_cbt_cau_NA_NA"
"130";"Cuijpers, 2022a";"bat";"other ctr";NA;NA;0,732563192285973;0,136558796535112;"msd";"phq-9";"self-report";9,34;6,1;96;13,57;5,51;141;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16,47;4,12;331;16,29;4,1;349;331;349;241;217;1;2022;8;"post";"n";"gsh";"gsh";"oth";"adul";0,699;"com";"cut";"adul";1;1;"sr";1;4;5;27,02;NA;NA;NA;NA;NA;NA;"Cuijpers, P., Heim, E., Abi Ramia, J., Burchert, S., Carswell, K., Cornelisz, I., . . . El Chammay, R. (2022). Effects of a WHO-guided digital health intervention for depression in Syrian refugees in Lebanon: A randomized controlled trial. PLoS Med, 19(6), e1004025. doi:10.1371/journal.pmed.1004025";"Cuijpers_2022a_msd_phq-9_post_8_self-report_bat_otherctr_NA_NA"
"131";"Cuijpers, 2022b";"bat";"other ctr";NA;NA;0,57678549820601;0,0872657850438345;"msd";"phq-9";"self-report";10,19;6,32;238;13,57;5,48;321;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16,39;4,15;614;16,37;4,24;635;283;286;153;110;1;2022;8;"post";"n";"gsh";"gsh";"oth";"adul";0,58;"com";"cut";"other";1;1;"sr";1;4;5;31,5;NA;NA;NA;NA;NA;NA;"Cuijpers, P., Heim, E., Ramia, J. A., Burchert, S., Carswell, K., Cornelisz, I., . . . El Chammay, R. (2022). Guided digital health intervention for depression in Lebanon: randomised trial. Evidence Based Mental Health, 25(e1), e34. doi:10.1136/ebmental-2021-300416";"Cuijpers_2022b_msd_phq-9_post_8_self-report_bat_otherctr_NA_NA"
"132";"Davoudi, 2020";"3rd";"other ctr";NA;NA;0,714226501492164;0,326554161192761;"msd";"bdi-1";"self-report";20,4;5,6;20;25,1;7,2;20;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;27,6;6,4;20;28,1;7,5;20;25;25;5;5;1;2020;8;"post";"n";"grp";"grp";"oth";"old";0,45;"oth";"cut";"med";1;0;"sr";0;2;8;58,6;NA;NA;NA;NA;NA;NA;"Davoudi M, Taheri AA, Foroughi AA, Ahmadi SM, Heshmati K. Effectiveness of acceptance and commitment therapy (ACT) on depression and sleep quality in painful diabetic neuropathy: a randomized clinical trial. Journal of Diabetes and Metabolic Disorders. 2020.";"Davoudi_2020_msd_bdi-1_post_8_self-report_3rd_otherctr_NA_NA"
"133";"De Groot, 2019";"cbt";"cau";NA;NA;0,623396540413733;0,285014000497117;"msd";"bdi-2";"self-report";11,35;9,17;24;18,04;11,63;28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21,18;8,53;36;27,73;9,75;36;36;36;12;8;1;2019;NA;"post";"n";"ind";"ind";"us";"old";0,77;"com";"mdd";"med";1;1;"sr";1;4;10;56;NA;NA;NA;NA;NA;NA;"De Groot, M., Shubrook, J. H., Hornsby, W. G., Pillay, Y., Mather, K. J., Fitzpatrick, K., . . . Saha, C. (2019). Program ACTIVE II: Outcomes from a randomized, multistate community-based depression treatment for rural and urban adults with type 2 diabetes. Diabetes care, 42(7), 1185-1193. doi:10.2337/dc18-2400";"DeGroot_2019_msd_bdi-2_post_NA_self-report_cbt_cau_cbt(cbt)_cau"
"134";"De Jong, 2018";"3rd";"wl";NA;NA;0,0181494544248713;0,331503236850983;"msd";"qids-c";"clinician";9,4;6,1;26;9,5;3,7;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,1;3,4;26;11,5;3,7;14;26;14;7;0;2;2018;8;"post";"n";"grp";"grp";"us";"adul";0,75;"com";"mood";"med";0;0;"0";1;1;7;50,7;NA;NA;NA;NA;NA;NA;"De Jong M, Peeters F, Gard T, et al. A randomized controlled pilot study on mindfulness-based cognitive therapy for unipolar depression in patients with chronic pain. Journal of clinical psychiatry 2018; 79(1): 26‐34.";"DeJong_2018_msd_qids-c_post_0_clinician_3rd_wl_NA_NA"
"135";"De Jong, 2018";"3rd";"wl";NA;NA;0,0957177389993715;0,331676534236139;"msd";"hdrs-17";"clinician";14,9;8,1;26;15,6;4,9;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;18,9;4,6;26;18,1;5,6;14;26;14;7;0;2;2018;8;"post";"n";"grp";"grp";"us";"adul";0,75;"com";"mood";"med";0;0;"0";1;1;7;50,7;NA;NA;NA;NA;NA;NA;"De Jong M, Peeters F, Gard T, et al. A randomized controlled pilot study on mindfulness-based cognitive therapy for unipolar depression in patients with chronic pain. Journal of clinical psychiatry 2018; 79(1): 26‐34.";"DeJong_2018_msd_hdrs_post_0_clinician_3rd_wl_NA_NA"
"136";"Dekker, 2012";"cbt";"cau";NA;NA;0,419444705282721;0,315990680956426;"msd";"bdi-2";"self-report";9,9;7,16;20;13;7,33;21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,9;7,16;20;17,6;6,87;21;21;21;2;5;1;2012;0;"post";"n";"ind";"ind";"us";"old";0,74;"oth";"cut";"med";1;1;"sr";1;4;1;66;NA;NA;NA;NA;NA;NA;"Dekker RL, Moser DK, Peden AR, Lennie TA. Cognitive therapy improves three-month outcomes in hospitalized patients with heart failure. Journal of cardiac failure. 2012;18(1):10-20.";"Dekker_2012_msd_bdi-2_post_0_self-report_cbt_cau_NA_NA"
"137";"Demir, 2022";"cbt";"cau";NA;NA;0,138359017048016;0,252316897593282;"msd";"bdi-1";"self-report";10,97;7,15;31;11,84;5,14;32;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13,65;3,14;31;13,34;3,33;32;40;40;9;8;1;2022;6;"post";"n";"grp";"grp";"oth";"yadul";0,937;"oth";"cut";"stud";1;1;"sr";0;3;6;20,1;NA;NA;NA;NA;NA;NA;"Demir, S., & Ercan, F. (2022). The effectiveness of cognitive behavioral therapy-based group counseling on depressive symptomatology, anxiety levels, automatic thoughts, and coping ways Turkish nursing students: A randomized controlled trial. Perspectives in psychiatric care. doi:10.1111/ppc.13073";"Demir_2022_msd_bdi-1_post_6_self-report_cbt_cau_NA_NA"
"138";"Dennis, 2020";"ipt";"cau";NA;NA;1,07064894780161;0,149819633790395;"msd";"epds";"self-report";7,27;5,14;104;12,4;4,36;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;17,57;2,85;120;17,47;2,93;121;120;121;16;21;1;2020;12;"post";"n";"tel";"tel";"can";"adul";1;"com";"mdd";"ppd";1;0;"sr";0;2;12;NA;NA;NA;NA;NA;NA;NA;"Dennis CL, Grigoriadis S, Zupancic J, Kiss A, Ravitz P. Telephone-based nurse-delivered interpersonal psychotherapy for postpartum depression: nationwide randomised controlled trial. Br J Psychiatry. 2020;216(4):189-196.";"Dennis_2020_msd_epds_post_12_self-report_ipt_cau_NA_NA"
"139";"DeRubeis, 2005";"cbt";"other ctr";NA;NA;0,454879120400069;0,218288782461533;"remission (cut-off)";"hdrs-24";"clinician";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Response (8 weeks) HDRS ≤ 12";26;15;60;60;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;60;9;8;1;2005;0;"post";"n";"ind";"ind";"us";"adul";0,59;"com";"mdd";"adul";0;0;"1";1;2;14;40;0,550046336919272;0,267945650822834;26;15;60;60;"DeRubeis RJ, Hollon SD, Amsterdam JD, Shelton RC, Young PR, Salomon RM, et al. Cognitive therapy vs medications in the treatment of moderate to severe depression. Archives of General Psychiatry. 2005;62(4):409-16.";"DeRubeis_2005_remission(cut-off)_hdrs_post_0_clinician_cbt_otherctr_NA_NA"
"140";"Desautels, 2018";"cbt";"wl";NA;NA;0,933406504777763;0,378901087238946;"msd";"hdrs-17";"clinician";6,8;4,5;25;11,9;6,96;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11,3;4,5;25;13,1;5,3;11;25;11;0;1;1;2018;NA;"post";"n";"ind";"ind";"can";"old";1;"oth";"cut";"med";1;1;"1";1;4;8;57,1;NA;NA;NA;NA;NA;NA;"Desautels, C., Savard, J., Ivers, H., Savard, M. H., & Caplette-Gingras, A. (2018). Treatment of depressive symptoms in patients with breast cancer: a randomized controlled trial comparing cognitive therapy and bright light therapy [Journal Article; Randomized Controlled Trial]. Health Psychology, 37(1), 1‐13. https://doi.org/10.1037/hea0000539 
";"Desautels_2018_msd_hdrs_post_5&8months_clinician_cbt_wl_NA_NA"
"141";"Desautels, 2018";"cbt";"wl";NA;NA;1,0783899145062;0,384451995558414;"msd";"hads-d";"self-report";4,1;3;25;7,3;2,65;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8,8;2,5;25;8,9;1,7;11;25;11;0;1;1;2018;NA;"post";"n";"ind";"ind";"can";"old";1;"oth";"cut";"med";1;1;"sr";1;4;8;57,1;NA;NA;NA;NA;NA;NA;"Desautels, C., Savard, J., Ivers, H., Savard, M. H., & Caplette-Gingras, A. (2018). Treatment of depressive symptoms in patients with breast cancer: a randomized controlled trial comparing cognitive therapy and bright light therapy [Journal Article; Randomized Controlled Trial]. Health Psychology, 37(1), 1‐13. https://doi.org/10.1037/hea0000539 
";"Desautels_2018_msd_hads-d_post_5&8months_self-report_cbt_wl_NA_NA"
"142";"Desautels, 2018";"cbt";"wl";NA;NA;1,20510268437654;0,389880493647652;"msd";"bdi-2";"self-report";9,8;6;25;17,7;7,3;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21,9;6,5;25;23,5;4,97;11;25;11;0;1;1;2018;NA;"post";"n";"ind";"ind";"can";"old";1;"oth";"cut";"med";1;1;"sr";1;4;8;57,1;NA;NA;NA;NA;NA;NA;"Desautels, C., Savard, J., Ivers, H., Savard, M. H., & Caplette-Gingras, A. (2018). Treatment of depressive symptoms in patients with breast cancer: a randomized controlled trial comparing cognitive therapy and bright light therapy [Journal Article; Randomized Controlled Trial]. Health Psychology, 37(1), 1‐13. https://doi.org/10.1037/hea0000539 
";"Desautels_2018_msd_bdi-2_post_5&8months_self-report_cbt_wl_NA_NA"
"143";"Dimidjian, 2006";"cbt";"other ctr";"cbt (cbt pooled severity)";"other ctr";0,487717235908053;0,223598670206853;"msd";"bdi-1";"self-report";13,71;12,53;35;19,53;11,31;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31,09;6,24;45;31,25;7,3;53;45;53;10;12;1;2006;0;"post";"n";"ind";"ind";"us";"adul";0,66;"com";"mdd";"adul";1;0;"sr";1;3;24;39,9;NA;NA;NA;NA;NA;NA;"Dimidjian S, Hollon SD, Dobson KS, Schmaling KB, Kohlenberg RJ, Addis ME, et al. Randomized trial of behavioral activation, cognitive therapy, and antidepressant medication in the acute treatment of adults with major depression. Journal of Consulting and Clinical Psychology. 2006;74(4):658-70.";"Dimidjian_2006_msd_bdi-1_post_0_self-report_cbt_otherctr_cbt(cbtpooledseverity)_otherctr"
"144";"Dimidjian, 2006";"cbt";"other ctr";"cbt (cbt pooled severity)";"other ctr";0,851234206577401;0,231959263411812;"msd";"hdrs-17";"clinician";8,85;6,22;34;14,55;6,9;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20,02;2,3;45;21,15;3,07;53;45;53;10;12;1;2006;0;"post";"n";"ind";"ind";"us";"adul";0,66;"com";"mdd";"adul";1;0;"1";1;3;24;39,9;NA;NA;NA;NA;NA;NA;"Dimidjian S, Hollon SD, Dobson KS, Schmaling KB, Kohlenberg RJ, Addis ME, et al. Randomized trial of behavioral activation, cognitive therapy, and antidepressant medication in the acute treatment of adults with major depression. Journal of Consulting and Clinical Psychology. 2006;74(4):658-70.";"Dimidjian_2006_msd_hdrs_post_0_clinician_cbt_otherctr_cbt(cbtpooledseverity)_otherctr"
"145";"Dimidjian, 2006";"bat";"other ctr";"bat (bat pooled severity)";"other ctr";0,909880397075662;0,244594453888646;"msd";"bdi-1";"self-report";9,76;9,33;29;19,53;11,31;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;33,35;5,4;43;31,25;7,3;53;43;53;14;12;1;2006;0;"post";"n";"ind";"ind";"us";"adul";0,66;"com";"mdd";"adul";1;0;"sr";1;3;24;39,9;NA;NA;NA;NA;NA;NA;"Dimidjian S, Hollon SD, Dobson KS, Schmaling KB, Kohlenberg RJ, Addis ME, et al. Randomized trial of behavioral activation, cognitive therapy, and antidepressant medication in the acute treatment of adults with major depression. Journal of Consulting and Clinical Psychology. 2006;74(4):658-70.";"Dimidjian_2006_msd_bdi-1_post_0_self-report_bat_otherctr_bat(batpooledseverity)_otherctr"
"146";"Dimidjian, 2006";"bat";"other ctr";"bat (bat pooled severity)";"other ctr";0,960614197603434;0,245843396178775;"msd";"hdrs-17";"clinician";7,72;7,28;29;14,55;6,9;50;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20,7;2,15;43;21,15;3,07;53;43;53;14;12;1;2006;0;"post";"n";"ind";"ind";"us";"adul";0,66;"com";"mdd";"adul";1;0;"1";1;3;24;39,9;NA;NA;NA;NA;NA;NA;"Dimidjian S, Hollon SD, Dobson KS, Schmaling KB, Kohlenberg RJ, Addis ME, et al. Randomized trial of behavioral activation, cognitive therapy, and antidepressant medication in the acute treatment of adults with major depression. Journal of Consulting and Clinical Psychology. 2006;74(4):658-70.";"Dimidjian_2006_msd_hdrs_post_0_clinician_bat_otherctr_bat(batpooledseverity)_otherctr"
"147";"Dimidjian, 2017";"bat";"cau";NA;NA;0,333688900121057;0,171462904195072;"msd";"phq-9";"self-report";8,76;5,39;70;10,46;4,71;68;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14,83;3,47;86;14,6;3,2;77;86;77;16;9;1;2017;NA;"post";"n";"oth";"oth (mixed fgrpf+tele)";"us";"adul";1;"oth";"cut";"ppd";1;1;"sr";1;4;10;28,75;NA;NA;NA;NA;NA;NA;"Dimidjian, S., Goodman, S., Sherwood, N., Simon, G., Ludman, E., Gallop, R., . . . Beck, A. (2017). A Pragmatic Randomized Clinical Trial of Behavioral Activation for Depressed Pregnant Women. Journal of Consulting and Clinical Psychology, 85(1), 26-36";"Dimidjian_2017_msd_phq-9_post_3monthspostpartum_self-report_bat_cau_NA_NA"
"148";"Dindo, 2020";"3rd";"other ctr";NA;NA;0,286062894222611;0,198839035917738;"msd";"hdrs-17";"clinician";10,3;7,07;56;12,3;6,78;47;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19,3;4,49;56;18,9;4,8;47;71;65;21;19;1;2020;13;"post";"n";"grp";"grp";"us";"adul";0,83;"com";"mdd";"med";0;0;"1";1;2;1;35,73;NA;NA;NA;NA;NA;NA;"Dindo, L. N., Recober, A., Calarge, C. A., Zimmerman, B. M., Weinrib, A., Marchman, J. N., & Turvey, C. (2019). One-Day Acceptance and Commitment Therapy Compared to Support for Depressed Migraine Patients: a Randomized Clinical Trial. Neurotherapeutics. doi:10.1007/s13311-019-00818-0";"Dindo_2020_msd_hdrs_post_NA_clinician_3rd_otherctr_NA_NA"
"149";"Dobkin, 2011";"cbt";"wl";NA;NA;1,04757559404602;0,238797771056191;"msd";"bdi-1";"self-report";9,74;7,4;41;17,45;7,17;39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;19,18;7,47;41;19,05;7,37;39;41;39;5;3;1;2011;15;"post";"n";"ind";"ind";"us";"old";0,4;"com";"mood";"med";1;0;"sr";1;3;10;64,56;NA;NA;NA;NA;NA;NA;"Dobkin RD, Menza M, Allen LA, Gara MA, Mark MH, Tiu J, et al. Cognitive-behavioral therapy for depression in Parkinson's disease: A randomized, controlled trial. American Journal of Psychiatry. 2011;168(10):1066-74.";"Dobkin_2011_msd_bdi-1_post_3.5months_self-report_cbt_cau_NA_NA"
"150";"Dobkin, 2011";"cbt";"wl";NA;NA;1,22781056591292;0,244208315072809;"msd";"hdrs-17";"clinician";13,58;4,72;41;19,33;4,55;39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;20,93;4,56;41;19,38;4,56;39;41;39;5;3;1;2011;15;"post";"n";"ind";"ind";"us";"old";0,4;"com";"mood";"med";1;0;"1";1;3;10;64,56;NA;NA;NA;NA;NA;NA;"Dobkin RD, Menza M, Allen LA, Gara MA, Mark MH, Tiu J, et al. Cognitive-behavioral therapy for depression in Parkinson's disease: A randomized, controlled trial. American Journal of Psychiatry. 2011;168(10):1066-74.";"Dobkin_2011_msd_hdrs_post_3.5months_clinician_cbt_cau_NA_NA"
